AphiaID,ScientificName,Authority,AphiaID_accepted,ScientificName_accepted,Authority_accepted,taxonRank,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,Marine,Brackish,Fresh,Terrestrial,taxonomicStatus,Unacceptreason,LSID,Citation
109470,Alexandrium,"Halim, 1960",109470,Alexandrium,"Halim, 1960",Genus,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,,,,1,,,,accepted,,urn:lsid:marinespecies.org:taxname:109470,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Alexandrium Halim, 1960. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/HAB./aphia.php?p=taxdetails&id=109470 on 2019-07-16"
231872,Alexandrium andersoni,"Balech, 1990",246835,Alexandrium andersonii,"Balech, 1990",Species,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,,andersoni,,1,,,0,unaccepted,zoological spelling,urn:lsid:marinespecies.org:taxname:231872,"HABs (2018). Alexandrium andersoni Balech, 1990. Accessed at: http://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=231872 on 2019-07-16"
246835,Alexandrium andersonii,"Balech, 1990",246835,Alexandrium andersonii,"Balech, 1990",Species,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,,andersonii,,1,,,0,accepted,,urn:lsid:marinespecies.org:taxname:246835,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Alexandrium andersonii Balech, 1990. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/HAB/aphia.php?p=taxdetails&id=246835 on 2019-07-16"
233452,Alexandrium angustitabulatum,"F.J.R.Taylor, 1995",109711,Alexandrium minutum,"Halim, 1960",Species,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,,angustitabulatum,,1,,,,unaccepted,"synonym, nom. illeg.",urn:lsid:marinespecies.org:taxname:233452,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Alexandrium angustitabulatum F.J.R.Taylor, 1995. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/HAB./aphia.php?p=taxdetails&id=233452 on 2019-07-16"
833063,Alexandrium australiense,"Shauna Murray, 2014",833063,Alexandrium australiense,"Shauna Murray, 2014",Species,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,,australiense,,1,,,,accepted,,urn:lsid:marinespecies.org:taxname:833063,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Alexandrium australiense Shauna Murray, 2014. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=833063 on 2019-07-16"
109708,Alexandrium balechii,"(Steidinger) Balech, 1995",109708,Alexandrium balechii,"(Steidinger) Balech, 1995",Species,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,,balechii,,1,,,,accepted,,urn:lsid:marinespecies.org:taxname:109708,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Alexandrium balechii (Steidinger) Balech, 1995. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/HAB./aphia.php?p=taxdetails&id=109708 on 2019-07-16"
231873,Alexandrium catenella,"(Whedon & Kofoid) Balech, 1985",231873,Alexandrium catenella,"(Whedon & Kofoid) Balech, 1985",Species,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,,catenella,,1,0,0,0,accepted,,urn:lsid:marinespecies.org:taxname:231873,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Alexandrium catenella (Whedon & Kofoid) Balech, 1985. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=231873 on 2019-07-16"
233472,Alexandrium excavatum,"(Braarud) Balech & Tangen, 1985",109714,Alexandrium tamarense,"(Lebour) Balech, 1995",Species,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,,excavatum,,0,0,1,,unaccepted,synonym,urn:lsid:marinespecies.org:taxname:233472,"Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Alexandrium excavatum (Braarud) Balech & Tangen, 1985. Accessed through: Moestrup, Ø.;  Akselmann-Cardella, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=233472 on 2019-07-16"
156513,Alexandrium fundyense,"Balech, 1985",231873,Alexandrium catenella,"(Whedon & Kofoid) Balech, 1985",Species,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,,fundyense,,1,,,,unaccepted,"name rejected; ""catenella"" has nomenclatural priority",urn:lsid:marinespecies.org:taxname:156513,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Alexandrium fundyense Balech, 1985. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=156513 on 2019-07-16"
233440,Alexandrium hiranoi,"Kita & Fukuyo, 1988",233440,Alexandrium hiranoi,"Kita & Fukuyo, 1988",Species,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,,hiranoi,,1,,,,accepted,,urn:lsid:marinespecies.org:taxname:233440,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Alexandrium hiranoi Kita & Fukuyo, 1988. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=233440 on 2019-07-16"
