sample,Hash,nReads
Sep17_P38_86.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1794
Apr18_P402_5.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3381
Apr18_P402_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2225
Sep17_P8_5.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1254
Sep17_P38_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2118
Sep17_P28_10.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2150
Apr18_P38_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1290
Sep17_P38_86.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1751
Apr18_P8_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,8531
Sep17_P22_86.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1293
Apr18_P4_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2629
Apr18_P402_52.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1396
Apr18_P22_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,108
Sep17_P8_5.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,715
Apr18_P8_5.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,7512
Sep17_P38_86.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1592
Sep17_P8_121.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2754
Sep17_P402_0.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,198
Sep17_P402_43.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,782
Apr18_P28_10.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2187
Sep17_P12_115.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2189
Apr18_P4_57.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2820
Apr18_P28_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1450
Sep17_P12_0.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2371
Sep17_P402_0.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,701
Sep17_P8_5.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1195
Sep17_P28_0.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1148
Sep17_P22_5.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1297
Sep17_P4_0.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,643
Apr18_P28_10.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2745
Apr18_P28_191.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1107
Sep17_P22_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1693
Apr18_P38_98.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1095
Sep17_P402_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,288
Sep17_P4_5.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2146
Sep17_P22_5.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1963
Sep17_P28_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2245
Apr18_P22_5.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3288
Apr18_P4_57.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,694
Sep17_P8_121.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1064
Sep17_P4_79.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,193
Sep17_P22_86.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,900
Apr18_P1_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,633
Sep17_P12_5.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1677
Sep17_P12_0.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1493
Sep17_P12_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,862
Sep17_P38_5.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1947
Sep17_P402_5.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3000
Apr18_P1_0.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,690
Apr18_P4_0.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2207
Sep17_P38_5.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3438
Apr18_P12_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2794
Apr18_P22_105.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2948
Sep17_P22_86.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2106
Sep17_P28_86.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2609
Apr18_P12_5.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,6289
Kangaroo.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1414
Sep17_P4_5.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,4597
Sep17_P28_0.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2987
Sep17_P4_0.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,859
Sep17_P22_0.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,726
Sep17_P28_86.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,523
Apr18_P22_5.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2564
Sep17_P4_79.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,492
Sep17_P4_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,352
Sep17_P402_5.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,905
Sep17_P12_115.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,44
Apr18_P12_120.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2872
Sep17_P12_115.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,659
Sep17_P12_5.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,568
Apr18_P4_5.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,225
Apr18_P28_0.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,796
Sep17_P8_121.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,694
Sep17_P402_43.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,168
Apr18_P22_105.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2154
Apr18_P8_122.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3801
Sep17_P4_79.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,123
Apr18_P22_0.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3284
