sample,Hash,nReads
Sep17_P38_86.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,646
Apr18_P402_5.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1563
Apr18_P402_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,521
Sep17_P28_10.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,747
Sep17_P38_86.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,231
Apr18_P8_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,6250
Sep17_P22_86.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,131
Apr18_P4_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1039
Apr18_P8_5.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5277
Sep17_P38_86.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,311
Sep17_P8_121.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1654
Apr18_P28_10.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,476
Apr18_P4_57.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,416
Apr18_P28_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,173
Sep17_P12_0.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,711
Sep17_P8_5.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,386
Sep17_P22_5.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,178
Apr18_P28_10.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1279
Sep17_P4_5.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,867
Sep17_P22_5.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,720
Sep17_P28_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,399
Apr18_P22_5.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1415
Sep17_P12_5.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,474
Sep17_P12_0.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,506
Sep17_P12_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,55
Sep17_P38_5.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,841
Sep17_P402_5.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,526
Sep17_P38_5.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,506
Apr18_P22_105.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,679
Sep17_P28_86.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1201
Apr18_P12_5.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1671
Sep17_P4_5.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2446
