input_F,input_R,filtered_F,filtered_R,denoised_F,denoised_R,merged_F,merged_R,tabled_F,tabled_R,tabled_together,nonchim
37763,32702,6335,5077,31327,4776,27347,3931,27347,3931,31278,28769
68751,51463,13967,7928,50077,7509,44178,6785,44178,6785,50963,45592
65052,51406,14661,9253,49854,8836,43190,7763,43190,7763,50953,42736
67053,44784,17874,8542,43453,8147,37714,6603,37714,6603,44317,40893
92228,32090,29093,4935,31297,4584,27810,3833,27810,3833,31643,28901
45713,37161,12164,8196,35819,7711,31369,6417,31369,6417,37786,35185
48634,40062,12352,9082,38851,8680,35685,7910,35685,7910,43595,40931
53898,43202,11922,8127,41200,7564,35192,6109,35192,6109,41301,38111
71034,62460,10340,8283,60372,7777,54825,6971,54825,6971,61796,57196
72982,31977,28152,10107,30696,9707,26127,7946,26127,7946,34073,29135
46228,41537,8742,7358,40160,6934,36693,5926,36693,5926,42619,39855
80806,48524,22176,10070,44213,9160,37866,6990,37866,6990,44856,41601
531306,3473,230934,998,3033,726,2266,576,2266,576,2842,2777
114890,33410,40762,5932,32482,5623,28898,4754,28898,4754,33652,32367
86194,62560,15382,8329,60333,7768,53758,6511,53758,6511,60269,56045
53169,36767,12452,6117,35633,5680,31122,4685,31122,4685,35807,32109
39941,31134,10369,7256,29939,6845,26333,5410,26333,5410,31743,27571
76574,31208,27344,8586,30777,8401,29088,7712,29088,7712,36800,35309
41079,25972,14007,7168,24469,6517,21938,5670,21938,5670,27608,26827
69734,42607,25613,12658,40717,11986,36514,10267,36514,10267,46781,42909
59759,42690,16640,9934,41463,9344,37350,8211,37350,8211,45561,43606
67241,55814,22913,17391,54884,16986,51722,16054,51722,16054,67776,60293
114443,34462,54175,11942,33009,11194,27674,9613,27674,9613,37287,32019
46587,42020,12754,11052,41058,10568,37517,9048,37517,9048,46565,41621
54860,41168,14139,9498,40237,9154,36704,8265,36704,8265,44969,39305
50378,18831,24575,8571,17960,8028,15585,6182,15585,6182,21767,20273
34902,28817,10576,8082,27965,7647,24344,6159,24344,6159,30503,29365
37647,29995,12299,9191,28490,8614,24613,6836,24613,6836,31449,28047
56717,43183,18747,12493,35302,12224,29069,9760,29069,9760,38829,36502
52224,37910,16675,10452,36300,9818,32845,8027,32845,8027,40872,36751
167414,28485,57862,6145,27801,5894,25589,5345,25589,5345,30934,28756
216539,9560,100524,2554,9297,2414,7801,1924,7801,1924,9725,8680
39622,30155,15113,12073,29569,11794,28554,9870,28554,9870,38424,37987
35471,20990,11596,6649,20649,6471,19210,5974,19210,5974,25184,23590
45930,30606,17472,11411,27352,11072,24061,9705,24061,9705,33766,32076
43735,30457,17991,12609,29146,12e3,25451,9391,25451,9391,34842,31156
65443,44763,22479,15296,43931,14808,38901,11772,38901,11772,50673,46297
111258,39241,48928,15996,38524,15490,35651,14153,35651,14153,49804,46966
126902,22891,58623,9983,21823,9534,20065,8611,20065,8611,28676,27249
59190,33017,22462,12555,31692,12e3,27390,9800,27390,9800,37190,32744
146800,27367,44104,7762,24812,7347,23020,6603,23020,6603,29623,29506
124930,14974,59817,9697,13892,8953,11520,7109,11520,7109,18629,16640
41233,29007,15597,10801,28540,10519,26111,9807,26111,9807,35918,31498
2450,496,885,192,343,126,23215,8803,23215,8803,32018,30158
34796,26658,13580,10257,25867,9972,19673,6910,19673,6910,26583,24739
30246,22804,11136,8493,22078,8069,16902,4397,16902,4397,21299,20232
24761,19952,6795,5428,19201,5085,22029,7321,22029,7321,29350,27720
45551,26404,15816,9014,25224,8448,52351,14579,52351,14579,66930,62032
60883,56416,17302,15823,55562,15431,43741,13944,43741,13944,57685,49304
74354,48728,27107,15355,48393,15151,44796,13013,44796,13013,57809,56259
345,212,140,79,165,57,53516,24093,53516,24093,77609,73526
47,26,17,10,3,1,29737,12440,29737,12440,42177,33254
80926,48299,31302,15052,47444,14635,47929,16884,47929,16884,64813,56906
70519,63021,32114,28061,60982,26952,51372,11355,51372,11355,62727,56638
40538,35001,18724,15584,33392,14680,23811,15090,23811,15090,38901,35313
153789,56697,73793,20973,54460,20018,91188,34024,91188,34024,125212,115820
75980,59374,21450,15080,57471,14351,28996,8011,28996,8011,37007,35465
77438,27414,51152,19092,26513,18333,40953,16429,40953,16429,57382,53940
110782,103011,42676,38888,100586,37535,47517,16620,47517,16620,64137,61952
63958,32912,27399,14357,32064,13791,31782,8955,31782,8955,40737,37752
83173,51479,38484,20077,46715,19518,7259,1401,7259,1401,8660,7111
75475,53511,32185,20587,52341,19825,6949,1558,6949,1558,8507,8206
56682,43365,15974,10943,38040,10601,18637,5016,18637,5016,23653,20762
53,12,13,2,6,1,13259,3816,13259,3816,17075,16989
10274,9249,2229,1953,8764,1794,8128,2081,8128,2081,10209,9761
11154,9111,2868,2206,8504,1974,10650,2988,10650,2988,13638,13277
