representative,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
16135864eb9a1e22daa7ca3da4ee99414c1f1e0c,2759,Eukaryota,superkingdom,1,NA,NA,NA,NA,NA,NA,NA
30ee35bdc772e1076646e4b254858a919dd9dbb1,2759,Eukaryota,superkingdom,0.9991,NA,NA,NA,NA,NA,NA,NA
f675fb0a1238f2d0488c15ddb3aa4efc090f7255,2759,Eukaryota,superkingdom,1,NA,NA,NA,NA,NA,NA,NA
0e56455a37c325938b941dd9121dd166f8def0aa,2759,Eukaryota,superkingdom,1,NA,NA,NA,NA,NA,NA,NA
58f5948cf359b74c19e716e28994f52e15c60d27,2759,Eukaryota,superkingdom,0.9984,NA,NA,NA,NA,NA,NA,NA
69bb14c75497d78ff402786add51f42eb2922cf1,2759,Eukaryota,superkingdom,1,NA,NA,NA,NA,NA,NA,NA
894c40ca6f9dfcde613e249227b2635655f7073b,2759,Eukaryota,superkingdom,0.9998,NA,NA,NA,NA,NA,NA,NA
b4ba5296fd6ecde4ada1e83a34b6fda804fa94a9,2759,Eukaryota,superkingdom,0.9975,NA,NA,NA,NA,NA,NA,NA
89ff32d75d866c0abb35e44a4b0fa6b0c3a8ddf5,2759,Eukaryota,superkingdom,1,NA,NA,NA,NA,NA,NA,NA
c4cc4e6c18897452547a26762bf3a2032926899b,1,root,no rank,NA,NA,NA,NA,NA,NA,NA,NA
bce32115b7630a7274591568b110f9eb2c77ef97,2836,Bacillariophyta,phylum,1,NA,Bacillariophyta,NA,NA,NA,NA,NA
475fa5a6788c2c7d4e695f9556272f59f34958f6,2759,Eukaryota,superkingdom,1,NA,NA,NA,NA,NA,NA,NA
88be9e99d6e602158bbcc2a7d66e9b19f91740e7,121148,Acartia,genus,0.9995,Metazoa,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,NA
0fd0c3670371d0fdab338d91e4525e2abcee365d,2759,Eukaryota,superkingdom,1,NA,NA,NA,NA,NA,NA,NA
232f418e1fdecaeb11d45f0f44c225370deec2cd,2759,Eukaryota,superkingdom,1,NA,NA,NA,NA,NA,NA,NA
f133fb3aa7c3fe82c592d7bbcfec8b3919c2aaf6,2759,Eukaryota,superkingdom,0.9998,NA,NA,NA,NA,NA,NA,NA
7a3d43fac287a3520d66197577cd94f444bcb5cc,1,root,no rank,NA,NA,NA,NA,NA,NA,NA,NA
b880bf13df49c38dfb71380bea0592ab067240b5,2759,Eukaryota,superkingdom,1,NA,NA,NA,NA,NA,NA,NA
